"","name","hex"
"707","Violet Blue (RAL)","#384E6F"
"708","Capri Blue (RAL)","#0F5D84"
"709","Relax Blue","#7AB7E2"
"710","Pastel Blue","#C9D6E8"
"711","Blue Indigo","#5710E5"
"712","Blue-Green CMYK","#78CDD1"
"713","Blue Calm","#7CB4BE"
"714","Matte Light Blue","#A6B6C9"
"715","Sky Blue (RAL)","#0B7BB0"
"716","Dark Electric Blue","#536878"
"717","Glossy Light Blue","#87C1FF"
"718","Deep Navy Blue","#000052"
"719","Spectrum Blue","#1642DE"
"720","Luxury Blue","#1F2B8F"
